ModTim, NONO:Measurement, MOMO:InternalSetpoint, SOSO:ControllerOutput
001:01:48.00,629.774,630,42.9315
001:01:48.00,629.782,630,42.9317
001:01:49.00,629.787,630,42.9318
001:01:49.00,629.793,630,42.932
001:01:50.00,629.798,630,42.9321
001:01:50.00,629.805,630,42.9323
001:01:51.00,629.809,630,42.9324
001:01:51.00,629.815,630,42.9325
001:01:52.00,629.819,630,42.9326
001:01:52.00,629.825,630,42.9328
001:01:53.00,629.829,630,42.9329
001:01:53.00,629.835,630,42.933
001:01:54.00,629.838,630,42.9331
001:01:54.00,629.844,630,42.9333
001:01:55.00,629.847,630,42.9334
001:01:55.00,629.852,630,42.9335
001:01:56.00,629.855,630,42.9336
001:01:56.00,629.86,630,42.9337
001:01:57.00,629.863,630,42.9338
001:01:57.00,629.868,630,42.9339
001:01:58.00,629.871,630,42.934
001:01:58.00,629.875,630,42.9341
001:01:59.00,629.878,630,42.9341
001:01:59.00,629.882,630,42.9342
001:02:00.00,629.884,630,42.9343
001:02:00.00,629.888,630,42.9344
001:02:01.00,629.891,630,42.9345
001:02:01.00,629.894,630,42.9346
001:02:02.00,629.897,630,42.9346
001:02:02.00,629.9,630,42.9347
001:02:03.00,629.902,630,42.9348
001:02:03.00,629.905,630,42.9348
001:02:04.00,629.907,630,42.9349
001:02:04.00,629.91,630,42.935
001:02:05.00,629.912,630,42.935
001:02:05.00,629.915,630,42.9351
001:02:06.00,629.917,630,42.9351
001:02:06.00,629.92,630,42.9352
001:02:07.00,629.922,630,42.9353
001:02:07.00,629.924,630,42.9353
001:02:08.00,629.926,630,42.9354
001:02:08.00,629.928,630,42.9354
001:02:09.00,629.93,630,42.9355
001:02:09.00,629.932,660,43.2851
001:02:10.00,629.948,660,43.3095
001:02:10.00,630.077,660,43.3448
001:02:11.00,630.286,660,43.3669
001:02:11.00,630.725,660,43.3983
001:02:12.00,631.156,660,43.4173
001:02:12.00,631.875,660,43.4443
001:02:13.00,632.467,660,43.4605
001:02:13.00,633.365,660,43.4838
001:02:14.00,634.044,660,43.4978
001:02:14.00,635.026,660,43.5182
001:02:15.00,635.733,660,43.5306
001:02:15.00,636.726,660,43.5488
001:02:16.00,637.42,660,43.5599
001:02:16.00,638.377,660,43.5764
001:02:17.00,639.033,660,43.5866
001:02:17.00,639.928,660,43.6019
001:02:18.00,640.533,660,43.6113
001:02:18.00,641.353,660,43.6257
001:02:19.00,641.905,660,43.6346
001:02:19.00,642.649,660,43.6481
001:02:20.00,643.146,660,43.6566
001:02:20.00,643.818,660,43.6695
001:02:21.00,644.267,660,43.6776
001:02:21.00,644.872,660,43.6898
001:02:22.00,645.278,660,43.6975
001:02:22.00,645.826,660,43.7092
001:02:23.00,646.193,660,43.7166
001:02:23.00,646.691,660,43.7277
001:02:24.00,647.026,660,43.7348
001:02:24.00,647.481,660,43.7454
001:02:25.00,647.789,660,43.7521
001:02:25.00,648.207,660,43.7622
001:02:26.00,648.491,660,43.7686
001:02:26.00,648.878,660,43.7782
001:02:27.00,649.142,660,43.7843
001:02:27.00,649.503,660,43.7934
001:02:28.00,649.749,660,43.7992
001:02:28.00,650.086,660,43.8078
001:02:29.00,650.316,660,43.8133
001:02:29.00,650.633,660,43.8215
001:02:30.00,650.849,660,43.8266
001:02:30.00,651.147,660,43.8344
001:02:31.00,651.351,660,43.8393
001:02:31.00,651.632,660,43.8466
001:02:32.00,651.825,660,43.8513
001:02:32.00,652.09,660,43.8582
001:02:33.00,652.272,660,43.8626
001:02:33.00,652.523,660,43.8691
001:02:34.00,652.695,660,43.8733
001:02:34.00,652.932,660,43.8795
001:02:35.00,653.095,660,43.8834
001:02:35.00,653.319,660,43.8893
001:02:36.00,653.474,660,43.893
001:02:36.00,653.686,660,43.8985
001:02:37.00,653.832,660,43.902
001:02:37.00,654.032,660,43.9072
001:02:38.00,654.17,660,43.9105
001:02:38.00,654.36,660,43.9154
001:02:39.00,654.491,660,43.9186
001:02:39.00,654.67,660,43.9232
001:02:40.00,654.794,660,43.9262
001:02:40.00,654.964,660,43.9306
001:02:41.00,655.08,660,43.9334
001:02:41.00,655.241,660,43.9375
001:02:42.00,655.351,660,43.9402
001:02:42.00,655.503,660,43.9441
001:02:43.00,655.607,660,43.9466
001:02:43.00,655.751,660,43.9503
001:02:44.00,655.849,660,43.9526
001:02:44.00,655.985,660,43.9561
001:02:45.00,656.078,660,43.9584
001:02:45.00,656.206,660,43.9617
001:02:46.00,656.294,660,43.9638
001:02:46.00,656.415,660,43.9669
001:02:47.00,656.498,660,43.9689
001:02:47.00,656.613,660,43.9719
001:02:48.00,656.691,660,43.9737
001:02:48.00,656.799,660,43.9765
001:02:49.00,656.874,660,43.9783
001:02:49.00,656.976,660,43.9809
001:02:50.00,657.046,660,43.9826
001:02:50.00,657.142,660,43.9851
001:02:51.00,657.209,660,43.9867
001:02:51.00,657.3,660,43.989
001:02:52.00,657.362,660,43.9905
001:02:52.00,657.448,660,43.9928
001:02:53.00,657.508,660,43.9942
001:02:53.00,657.589,660,43.9963
001:02:54.00,657.645,660,43.9976
001:02:54.00,657.722,660,43.9996
001:02:55.00,657.775,660,44.0009
001:02:55.00,657.847,660,44.0027
001:02:56.00,657.897,660,44.0039
001:02:56.00,657.966,660,44.0057
001:02:57.00,658.013,660,44.0068
001:02:57.00,658.078,660,44.0085
001:02:58.00,658.122,660,44.0096
001:02:58.00,658.184,660,44.0112
001:02:59.00,658.226,660,44.0122
001:02:59.00,658.284,660,44.0137
001:03:00.00,658.323,660,44.0146
001:03:00.00,658.378,660,44.016
001:03:01.00,658.416,660,44.0169
001:03:01.00,658.467,660,44.0183
001:03:02.00,658.503,660,44.0191
001:03:02.00,658.552,660,44.0204
001:03:03.00,658.585,660,44.0212
001:03:03.00,658.631,660,44.0224
001:03:04.00,658.663,660,44.0232
001:03:04.00,658.707,660,44.0243
001:03:05.00,658.737,660,44.025
001:03:05.00,658.778,660,44.0261
001:03:06.00,658.806,660,44.0267
001:03:06.00,658.845,660,44.0278
001:03:07.00,658.872,660,44.0284
001:03:07.00,658.908,660,44.0294
001:03:08.00,658.934,660,44.03
001:03:08.00,658.969,660,44.0309
001:03:09.00,658.992,660,44.0314
001:03:09.00,659.025,660,44.0323
001:03:10.00,659.048,660,44.0328
001:03:10.00,659.079,660,44.0336
001:03:11.00,659.1,660,44.0341
001:03:11.00,659.129,660,44.0349
001:03:12.00,659.15,660,44.0354
001:03:12.00,659.177,660,44.0361
001:03:13.00,659.196,660,44.0366
001:03:13.00,659.223,660,44.0372
001:03:14.00,659.241,660,44.0377
001:03:14.00,659.265,660,44.0383
001:03:15.00,659.282,660,44.0387
001:03:15.00,659.306,660,44.0393
001:03:16.00,659.322,660,44.0397
001:03:16.00,659.344,660,44.0403
001:03:17.00,659.359,660,44.0406
001:03:17.00,659.38,660,44.0412
001:03:18.00,659.394,660,44.0415
001:03:18.00,659.414,660,44.042
001:03:19.00,659.427,660,44.0424
001:03:19.00,659.446,660,44.0428
001:03:20.00,659.459,660,44.0432
001:03:20.00,659.477,660,44.0436
001:03:21.00,659.489,660,44.0439
001:03:21.00,659.505,660,44.0443
001:03:22.00,659.517,660,44.0446
001:03:22.00,659.533,660,44.045
001:03:23.00,659.543,660,44.0453
001:03:23.00,659.558,660,44.0457
001:03:24.00,659.568,660,44.0459
001:03:24.00,659.582,660,44.0463
001:03:25.00,659.592,660,44.0465
001:03:25.00,659.605,660,44.0469
001:03:26.00,659.615,660,44.0471
001:03:26.00,659.627,660,44.0474
001:03:27.00,659.636,660,44.0476
001:03:27.00,659.648,660,44.0479
001:03:28.00,659.656,660,44.0481
