odime, MAMAMeasurement, OSISInternalSetpoint, OCOCOControllerOutput
000:48:28.00,51.5326,45,51.9867
000:48:28.00,51.4941,45,51.9593
000:48:29.00,51.4654,45,51.9372
000:48:29.00,51.4271,45,51.9098
000:48:30.00,51.3985,45,51.8878
000:48:30.00,51.3605,45,51.8605
000:48:31.00,51.3321,45,51.8386
000:48:31.00,51.2943,45,51.8114
000:48:32.00,51.266,45,51.7896
000:48:32.00,51.2284,45,51.7624
000:48:33.00,51.2004,45,51.7407
000:48:33.00,51.163,45,51.7136
000:48:34.00,51.1351,45,51.6919
000:48:34.00,51.098,45,51.665
000:48:35.00,51.0702,45,51.6433
000:48:35.00,51.0333,45,51.6164
000:48:36.00,51.0058,45,51.5949
000:48:36.00,50.969,45,51.5681
000:48:37.00,50.9417,45,51.5466
000:48:37.00,50.9052,45,51.5199
000:48:38.00,50.8779,45,51.4985
000:48:38.00,50.8417,45,51.4718
000:48:39.00,50.8146,45,51.4505
000:48:39.00,50.7785,45,51.424
000:48:40.00,50.7516,45,51.4027
000:48:40.00,50.7158,45,51.3762
000:48:41.00,50.689,45,51.3551
000:48:41.00,50.6534,45,51.3286
000:48:42.00,50.6268,45,51.3075
000:48:42.00,50.5914,45,51.2812
000:48:43.00,50.565,45,51.2602
000:48:43.00,50.5298,45,51.2339
000:48:44.00,50.5036,45,51.213
000:48:44.00,50.4686,45,51.1868
000:48:45.00,50.4425,45,51.1659
000:48:45.00,50.4077,45,51.1398
000:48:46.00,50.3817,45,51.119
000:48:46.00,50.3472,45,51.093
000:48:47.00,50.3214,45,51.0722
000:48:47.00,50.287,45,51.0463
000:48:48.00,50.2614,45,51.0256
000:48:48.00,50.2273,45,50.9998
000:48:49.00,50.2018,45,50.9792
000:48:49.00,50.1679,45,50.9534
000:48:50.00,50.1426,45,50.9329
000:48:50.00,50.1088,45,50.9072
000:48:51.00,50.0837,45,50.8867
000:48:51.00,50.0501,45,50.8611
000:48:52.00,50.0251,45,50.8408
000:48:52.00,49.9918,45,50.8152
000:48:53.00,49.967,45,50.7949
000:48:53.00,49.9339,45,50.7694
000:48:54.00,49.9092,45,50.7492
000:48:54.00,49.8763,45,50.7238
000:48:55.00,49.8517,45,50.7037
000:48:55.00,49.819,45,50.6784
000:48:56.00,49.7947,50,44.6487
000:48:56.00,49.7624,50,44.6094
000:48:57.00,49.7389,50,44.5807
000:48:57.00,49.7084,50,44.5433
000:48:58.00,49.687,50,44.517
000:48:58.00,49.6597,50,44.4833
